IATA,City,Latitude,Longitude
BFV,Buri Ram,15.229539,103.253231
BFX,Bafoussam,5.536919,10.354583
BGA,Bucaramanga,7.1265,-73.184778
BGC,Braganca,41.8578,-6.707125
BGE,Bainbridge,30.9715981,-84.6369278
BGF,Bangui,4.398475,18.518786
BGG,Bingol,38.86111,40.5925
BGI,Bridgetown,13.074603,-59.492456
BGK,Big Creek,16.516667,-88.416667
BGM,Binghamton,42.208689,-75.979839
BGO,Bergen,60.293386,5.218142
BGR,Bangor,44.807444,-68.828139
BGS,Berlin,52.548611,13.389444
BGW,Baghdad,33.262539,44.234578
BGX,Bage,-31.390528,-54.112244
BGY,Bergamo,45.673889,9.704166
BHB,Bar Harbor,44.4497689,-68.3615653
BHD,Belfast,54.618056,-5.8725
BHE,Woodbourne,-41.518333,173.870278
BHF,Berlin,52.51,13.434722
BHG,Brus Laguna,15.7631,-84.5436
BHH,Bisha,19.98435,42.620881
BHI,Bahia Blanca,-38.724967,-62.169317
BHJ,Bhuj,23.287828,69.670147
BHK,Bukhara,39.775,64.483333
BHM,Birmingham,33.562942,-86.75355
BHN,Beihan,14.781972,45.720083
BHO,Bhopal,23.287467,77.337375
BHP,Bhojpur,27.14743,87.050819
BHQ,Broken Hill,-32.0014,141.472
BHR,Bharatpur,27.6781,84.4294
BHS,Bathurst,-33.4094,149.652
BHU,Bhaunagar,21.752206,72.185181
BHV,Bahawalpur,29.3481,71.717981
BHX,Birmingham,52.453856,-1.748028
BHY,Beihai,21.5394,109.294
BHZ,Belo Horizonte,-19.8517,-43.9508
BIA,Bastia,42.552664,9.483731
BID,Block Island,41.168056,-71.577778
BIE,Biessenhofen,47.851,10.634
BIF,El Paso,31.849528,-106.380039
BIG,Delta Junction,63.994547,-145.721642
BII,Bikini Atoll,11.5225,165.565
BIK,Biak,-1.190017,136.107997
BIL,Billings,45.80921,-108.537654
BIM,Alice Town,25.699881,-79.264656
BIN,Bamyan,34.816667,67.816667
BIO,Bilbao,43.301097,-2.910608
BIQ,Biarritz-bayonne,43.468419,-1.523325
BIR,Biratnagar,26.481453,87.264036
BIS,Bismarck,46.775842,-100.757931
BIU,Bildudalur,65.641389,-23.546111
BIV,Holland,42.7427778,-86.1078333
